,Both sexes,Year,NY.GDP.PCAP.PP.KD
Afghanistan,6.0,3175.1,2065.03623501599
Albania,3.7,2544.0,13671.4884222978
Algeria,2.6,3266.5,11510.5570882585
Angola,12.6,2341.0,6670.33145836633
Argentina,8.1,2220.2999999999997,22063.9043717551
Armenia,2.7,2474.0,13653.7633812861
Australia,11.3,2843.5666666666666,49455.5385080697
Austria,10.4,1884.0,55833.3156857561
Azerbaijan,4.0,2207.4,14439.3014032972
Bangladesh,3.9,2066.0,4753.72659686814
Belarus,16.5,1807.0,19283.1171477055
Belgium,13.9,1546.0,51742.7263830791
Benin,12.7,2630.4666666666667,3287.30953781986
Bosnia and Herzegovina,8.3,1769.0,14896.7900391155
Botswana,20.2,3426.6666666666665,17776.8083134036
Brazil,6.4,2237.581818181818,14763.8716968734
Bulgaria,6.5,2177.0,23191.5745846967
Burkina Faso,14.4,3209.0,2178.3228791324
Burundi,12.1,2373.4,751.664152760383
Cameroon,15.9,2165.125,3642.27627296724
Canada,10.3,2028.0444444444447,49006.7431073981
Central African Republic,23.0,2546.5,945.142042928865
Chad,13.2,3353.2,1579.62610063652
Chile,8.0,2841.7799999999997,24967.5802124165
China,6.7,2028.5800000000002,16092.300767051
Colombia,3.7,1930.775,14585.3024908488
Congo,11.6,1698.6666666666667,3842.79885571048
Croatia,11.0,2272.0,28753.5162699607
Cyprus,3.2,3314.1,40226.8094909879
Denmark,7.6,1932.0,57678.0988930692
Djibouti,11.9,3279.0,5534.76617152744
Ecuador,7.7,1909.55,11370.603299072
Egypt,3.4,3710.6800000000003,11763.2532849551
El Salvador,6.1,2957.0,8796.06206368967
Equatorial Guinea,13.5,1548.95,18502.563964039
Estonia,12.0,1994.5,36830.0747898819
Ethiopia,9.5,2784.8500000000004,2221.40466452958
Fiji,9.5,1922.0,13684.3608160228
Finland,13.4,1858.0,48689.2341509211
France,9.7,2166.6666666666665,45834.1669122703
Gabon,13.1,1720.1999999999998,14950.0770784889
Gambia,9.6,3070.0,2222.87959013357
Georgia,7.7,2046.0,14989.2581602038
Germany,8.3,1644.0,53639.26072156
Ghana,10.5,2367.5,5396.86608780051
Greece,3.6,2773.0,29723.2219580446
Guinea,12.3,2440.0,2567.0339869651
Guinea-Bissau,12.4,2707.0,1939.2895096348
Guyana,40.9,2460.6,13082.2026195835
Honduras,2.6,2259.8,5736.18163330613
Hungary,11.8,1988.0,32553.5236997988
Iceland,11.2,1326.0,56913.9568467085
India,12.9,2517.02,6713.93221110733
Indonesia,2.6,2521.65,11811.9755589147
Iran,5.1,2821.7,12389.2233504388
Iraq,4.7,3240.8,10565.2474296597
Ireland,8.9,1453.0,87786.1569266174
Israel,5.2,3311.0,40007.3191584114
Italy,4.3,2372.25,42662.5223699096
Japan,12.2,1837.1200000000001,41380.0935773113
Kazakhstan,18.1,2431.5,26351.8044418782
Kenya,11.0,3030.025,4329.87188383259
Latvia,16.1,1754.0,30858.750074744
Libya,4.5,3178.1,15174.1625153905
Lithuania,20.2,1691.0,37062.5867515036
Luxembourg,8.6,1634.0,113940.23744151
Madagascar,9.2,2864.433333333333,1618.53231427249
Malawi,10.6,2795.866666666667,1514.66267654193
Mali,8.0,3099.866666666667,2321.91717305646
Malta,5.3,3054.0,43950.5880527847
Mauritania,5.5,3332.5,5197.0722508281
Mexico,5.3,2596.25,19701.337669842
Mongolia,18.0,2791.5,12316.7913725436
Montenegro,16.2,2481.0,21533.949235748
Morocco,7.3,3155.4666666666667,7537.48527234118
Mozambique,23.2,2838.0,1281.50604143547
Namibia,13.5,3737.5,9845.21306790198
Netherlands,9.3,1662.0,56629.110793233
New Zealand,10.3,1953.925,42877.9429107086
Nicaragua,4.7,2759.9,5451.7078347038
Niger,10.1,3203.2,1224.51026155853
Nigeria,6.9,2669.08,5135.49946875343
North Macedonia,7.2,2339.0,16600.1436488516
Norway,9.9,1373.3333333333333,64452.812617024
Oman,4.5,3493.3,27294.5729762764
Pakistan,9.8,3108.5166666666664,4690.48477660926
Panama,2.9,1743.5,31432.1132703975
Papua New Guinea,3.6,2463.0,4349.80804806069
Paraguay,6.2,2803.0,12615.5286456565
Peru,2.7,2281.65,12853.6920747721
Philippines,2.5,2103.1,8914.72379820449
Poland,9.3,1571.0,33120.517844588
Portugal,7.2,2770.0,34879.7059746537
Romania,7.3,2115.0,29857.6464700842
Saudi Arabia,5.4,3236.5,46962.147688222
Senegal,11.0,3146.0,3361.46154773707
Serbia,7.9,2055.0,18292.175030713
Singapore,9.7,2022.4,98411.5820616053
Slovenia,14.0,1974.0,38905.5478569196
Solomon Islands,17.4,2330.0,2660.97969650967
Somalia,14.7,3103.0,866.762289749145
South Africa,23.5,3141.316666666667,12481.8135074777
Spain,5.3,2800.2,40805.9169678996
Sudan,4.8,3559.55,4185.60063543936
Sweden,12.4,1782.5,52531.1743768398
Switzerland,9.8,1566.0,70920.3247255393
Thailand,8.0,2175.025,18453.4698218155
Togo,14.8,2579.95,2121.89991847011
Tunisia,3.2,3049.95,10755.5726608392
Turkey,2.3,2333.8,28199.0515906708
Uganda,10.4,2304.0,2187.46522731754
Ukraine,17.7,1955.0,12808.7989991273
United Kingdom,6.9,1530.0,46406.4617483484
United States,14.5,2827.6185185185186,62630.8732765742
Uruguay,18.8,2481.4,23032.7340435597
Uzbekistan,8.3,2823.9,7014.32469877717
Vietnam,7.2,2123.5,8041.17838409676
Zambia,14.4,2965.4666666666667,3470.44802371756
Zimbabwe,23.6,3065.4,3027.65603782166
